date,ozone,temperature,relative_humidity,numdeaths
1/1/2002,4.586224556,-0.225000009,75.67829895,199
1/2/2002,4.876852512,0.087499954,77.52500153,231
1/3/2002,4.707875252,0.850000024,81.32499695,210
1/4/2002,4.137461185,0.537500024,85.44999695,203
1/5/2002,2.005846262,4.25,93.52500153,224
1/6/2002,2.401445866,7.068749905,96.40000153,198
1/7/2002,4.082940102,5.1875,93.52500153,180
1/8/2002,3.127579927,3.512500048,81.5,188
1/9/2002,2.052420139,3.224999905,88.32499695,168
1/10/2002,5.186887264,5.324999809,85.40000153,194
1/11/2002,3.591538906,2.993750095,92.59999847,223
1/12/2002,12.86544323,4.762499809,94.17500305,201
1/13/2002,17.6133709,8.181249619,91.42500305,204
1/14/2002,18.69501686,9.293749809,89.17500305,184
1/15/2002,15.95137882,7.237499714,82.82499695,191
1/16/2002,9.604250908,4.237499714,83.32499695,181
1/17/2002,27.54545403,6.518750191,88.42500305,179
1/18/2002,18.27272797,4.643750191,83.32499695,172
1/19/2002,44.27272797,7.118750095,70,167
1/20/2002,49.90909195,8.931249619,85.80000305,167
1/21/2002,38.09090805,10.83749962,81.22499847,189
1/22/2002,43.09090805,9.043749809,71.32500458,183
1/23/2002,46.90909195,9.287500381,83.22499847,193
1/24/2002,34.54545593,8.5625,76.02500153,173
1/25/2002,26,6.618750095,80.94999695,177
1/26/2002,60.63636398,9.243749619,84.55000305,174
1/27/2002,42.45454407,10.45625019,90.30000305,169
1/28/2002,56.09464264,10.33125019,61.47499847,204
1/29/2002,38.11042023,10.90625,77.52500153,164
1/30/2002,33.01515579,11.13125038,82.9750061,160
1/31/2002,46.71896362,8.481249809,72.69999695,192
2/1/2002,58.20595932,9.856249809,78.55000305,173
2/2/2002,60.52612305,12.18124962,73.02500153,167
2/3/2002,39.26398849,9.53125,79.55000305,180
2/4/2002,44.39678574,8.056249619,89.17500305,143
2/5/2002,48.00188446,9.581250191,76.55000305,194
2/6/2002,33.9189949,7.25,64.05000305,148
2/7/2002,21.53743172,6.300000191,79.32499695,144
2/8/2002,28.50093651,9.487500191,89.77500153,169
2/9/2002,54.19873428,10.13749981,62.375,171
2/10/2002,55.5718956,9.100000381,68.75,155
2/11/2002,44.50498962,11.03125,86.5,146
2/12/2002,38.99726868,11.5,69.59999847,141
2/13/2002,22.2712574,7.824999809,78.52500153,150
2/14/2002,32.82904053,5.456250191,59.07500076,177
2/15/2002,16.25182343,3.5625,72.40000153,177
2/16/2002,16.37057686,5.112500191,70.625,166
2/17/2002,7.431434155,3.706249952,79.02500153,154
2/18/2002,21.7264328,5.650000095,66.25,186
2/19/2002,45.15992355,8.337499619,68.22499847,171
2/20/2002,48.63015747,8.149999619,59.27499771,151
2/21/2002,31.81117058,5.199999809,65.90000153,169
2/22/2002,50.5238533,9.131250381,67.75,185
2/23/2002,57.07624435,5.556250095,74.55000305,154
2/24/2002,41.76553726,5.756249905,84.17500305,161
2/25/2002,45.64722824,9.206250191,88.72499847,163
2/26/2002,58.5707283,9.543749809,68.57499695,183
2/27/2002,54.78866196,5.931250095,66.30000305,153
2/28/2002,41.1239357,6.993750095,62.07500076,155
3/1/2002,16.34319305,3.606250048,80.65000153,152
3/2/2002,21.50690842,3.849999905,69.40000153,165
3/3/2002,17.56430817,6.587500095,77.82499695,162
3/4/2002,22.55617332,6.9375,68.22499847,186
3/5/2002,12.14976501,7.931250095,68.90000153,195
3/6/2002,46.30099869,8.587499619,75.15000153,184
3/7/2002,42.74446106,11.69999981,54.02500153,169
3/8/2002,29.88905525,9.487500191,69.875,138
3/9/2002,50.54545593,7.318749905,52.82499695,150
3/10/2002,57.18181992,6.675000191,70.07499695,141
3/11/2002,38.09090805,9.943750381,81.77500153,185
3/12/2002,10.909091,8.862500191,82.34999847,179
3/13/2002,52.54545593,6.237499714,76.09999847,157
3/14/2002,47.09090805,5.168749809,73.15000153,163
3/15/2002,4.422968388,6.5625,93.77500153,182
3/16/2002,27.63636398,10.47500038,74.75,177
3/17/2002,37.18181992,11.19375038,79.3999939,206
3/18/2002,54,9.412500381,83.77500153,164
3/19/2002,34.90909195,9.418749809,72.52500153,156
3/20/2002,33.36363602,11.35624981,85.72499847,180
3/21/2002,36,12.82499981,69.44999695,168
3/22/2002,25.63636398,11.86250019,72.80000305,135
3/23/2002,41.63636398,9.462499619,60.57500076,166
3/24/2002,38.81818008,8.03125,54.47499847,151
3/25/2002,29.004776,8.949999809,60.47499847,165
3/26/2002,37.87185287,9.050000191,61.65000153,158
3/27/2002,27.72727203,6.78125,61.89999771,165
3/28/2002,19.18181801,7.474999905,50.27500153,161
3/29/2002,20.45454597,9.243749619,49.40000153,170
3/30/2002,41.27272797,10.16250038,49.70000076,161
3/31/2002,52.63636398,9.893750191,81.25,132
4/1/2002,65,12.01379681,64.84999847,151
4/2/2002,38.72727203,12.69999981,57.90000153,167
4/3/2002,35.27344131,15.60624981,40.75,161
4/4/2002,28.86170578,12.83124924,57,177
4/5/2002,29.88845444,11.01875019,61.45000076,154
4/6/2002,70.45454407,8.918749809,41.10096359,160
4/7/2002,75.90908813,8.006250381,56.5,135
4/8/2002,62.54545593,9.193750381,56.57500076,180
4/9/2002,53.18181992,6.5,69.97499847,171
4/10/2002,81.1818161,8.5625,45.42499924,158
4/11/2002,59.45454407,8.081250191,48.77500153,162
4/12/2002,71.8181839,7.681250095,49.40000153,143
4/13/2002,57.18181992,7.181250095,57.40000153,127
4/14/2002,36,6.875,55.29999924,147
4/15/2002,17.54545403,8.681249619,69.625,153
4/16/2002,35.09090805,9.050000191,45.59999847,146
4/17/2002,47.54545593,9.518750191,53.75,150
4/18/2002,40.90909195,9.125,60.69999695,134
4/19/2002,24,9.59375,63.625,150
4/20/2002,31.63636398,10.30000019,52.59999847,152
4/21/2002,58.54545593,12.89375019,49.82499695,178
4/22/2002,51.90909195,14.34375,56.95000076,147
4/23/2002,35.72727203,15.29374981,60.52500153,174
4/24/2002,22.19387436,15.73124981,68.05000305,151
4/25/2002,37.62573624,13.16249943,54.5,143
